"ID","Incident Time","Source","Policies","Channel","Destination","Severity","Action","Maximum Matches","Transaction Size (KB)","Status",
"1285181","22 Aug. 2020, 12:34:27 PM GMT+0530","ankitkumar","Source code","Endpoint application (File Access)","OneDrive","Medium","Permitted","2","538.7","New",
"1285080","22 Aug. 2020, 12:34:21 PM GMT+0530","ankitkumar","Source code","Endpoint application (File Access)","Microsoft Office Excel","Medium","Permitted","2","538.7","New",
"1285105","22 Aug. 2020, 12:34:04 PM GMT+0530","bhuvneshsalwan","Source code","Endpoint application (File Access)","Microsoft Office Outlook","Medium","Permitted","4","487.6","New",
"1284999","22 Aug. 2020, 12:32:59 PM GMT+0530","mohanpandey","Source code","Endpoint application (File Access)","Safari","Medium","Permitted","6","662.1","New",
"1284994","22 Aug. 2020, 12:32:59 PM GMT+0530","mohanpandey","Source code","Endpoint application (File Access)","Safari","Medium","Permitted","6","662.1","New",
"1284931","22 Aug. 2020, 12:31:52 PM GMT+0530","ankitkumar","Source code","Endpoint application (File Access)","OneDrive","Medium","Permitted","2","538.7","New",
"1285171","22 Aug. 2020, 12:31:49 PM GMT+0530","ankitkumar","Source code","Endpoint application (File Access)","Microsoft Office Excel","Medium","Permitted","2","538.7","New",
"1285071","22 Aug. 2020, 12:31:27 PM GMT+0530","it52","Source code","Endpoint HTTPS","192.168.1.17:9443","Medium","Permitted","2","123.4","New",
"1284984","22 Aug. 2020, 12:28:24 PM GMT+0530","ankitkumar","Source code","Endpoint application (File Access)","OneDrive","Medium","Permitted","2","537","New",
"1284921","22 Aug. 2020, 12:28:16 PM GMT+0530","ankitkumar","Source code","Endpoint application (File Access)","Microsoft Office Excel","Medium","Permitted","2","537","New",
"1284856","22 Aug. 2020, 12:28:08 PM GMT+0530","jatinmakhija","Acceptable Use - Obscenities & Racism; Source code","Endpoint HTTPS","mmg-fna.whatsapp.net","Medium","Permitted","4","294.4","New",
"1285047","22 Aug. 2020, 12:27:31 PM GMT+0530","niharmathur","Source code","Endpoint application (File Access)","Microsoft Office Outlook","Medium","Permitted","6","662.1","New",
"1285043","22 Aug. 2020, 12:27:22 PM GMT+0530","ankitkumar","Source code","Endpoint application (File Access)","OneDrive","Medium","Permitted","2","535.9","New",
"1284783","22 Aug. 2020, 12:27:17 PM GMT+0530","ankitkumar","Source code","Endpoint application (File Access)","Microsoft Office Excel","Medium","Permitted","2","535.9","New",
"1284779","22 Aug. 2020, 12:27:16 PM GMT+0530","ankitkumar","Source code","Endpoint application (File Access)","OneDrive","Medium","Permitted","2","329.8","New",
"1284775","22 Aug. 2020, 12:27:13 PM GMT+0530","ankitkumar","Source code","Endpoint application (File Access)","Microsoft Office Excel","Medium","Permitted","2","535.9","New",
"1284978","22 Aug. 2020, 12:25:02 PM GMT+0530","niharmathur","Poland PII","Endpoint HTTPS","tsa.webex.com","Medium","Permitted","1","0.7","New",
"1284908","22 Aug. 2020, 12:23:26 PM GMT+0530","anuj.kumar","Poland PII","Endpoint HTTPS","mail.google.com","Medium","Permitted","1","0.9","New",
"1284904","22 Aug. 2020, 12:23:22 PM GMT+0530","arjundayalmathur","Source code","Endpoint application (File Access)","OneDrive","Medium","Permitted","2","34.3","New",
"1284846","22 Aug. 2020, 12:23:17 PM GMT+0530","jitendrakumar","Poland PII","Endpoint HTTPS","rs.fullstory.com","Medium","Permitted","2","5.1","New",
"1284843","22 Aug. 2020, 12:23:12 PM GMT+0530","jitendrakumar","Poland PII","Endpoint HTTPS","rs.fullstory.com","Medium","Permitted","1","1.2","New",
"1285019","22 Aug. 2020, 12:23:07 PM GMT+0530","jitendrakumar","Poland PII","Endpoint HTTPS","rs.fullstory.com","High","Permitted","3","8.8","New",
"1285013","22 Aug. 2020, 12:23:03 PM GMT+0530","jitendrakumar","Source code; Poland PII","Endpoint HTTPS","rs.fullstory.com","High","Permitted","10","76.6","New",
"1284769","22 Aug. 2020, 12:22:36 PM GMT+0530","anuj.kumar","Poland PII","Endpoint HTTPS","mail.google.com","Medium","Permitted","1","0.2","New",
"1284960","22 Aug. 2020, 12:22:31 PM GMT+0530","niharmathur","Source code","Endpoint application (File Access)","Microsoft Office PowerPoint","Medium","Permitted","6","662.1","New",
"1284898","22 Aug. 2020, 12:20:05 PM GMT+0530","niharmathur","Poland PII","Endpoint HTTPS","tsa.webex.com","Medium","Permitted","1","0.7","New",
"1284837","22 Aug. 2020, 12:19:50 PM GMT+0530","jatinmakhija","Poland PII","Endpoint HTTPS","omc-7e2e90dc30bda.eum.omc.ocp.oraclecloud.com","Medium","Permitted","1","1","New",
"1284703","22 Aug. 2020, 12:19:34 PM GMT+0530","shashankjain","Source code","Endpoint HTTPS","drive.google.com","Medium","Permitted","1","178","New",
"1284758","22 Aug. 2020, 12:18:04 PM GMT+0530","kavitaverma","Poland PII","Endpoint HTTPS","www.netflix.com","Medium","Permitted","1","10.3","New",
"1284755","22 Aug. 2020, 12:18:03 PM GMT+0530","kavitaverma","Poland PII","Endpoint HTTPS","www.netflix.com","Medium","Permitted","1","14.4","New",
"1284953","22 Aug. 2020, 12:17:43 PM GMT+0530","kavitaverma","Poland PII","Endpoint HTTPS","www.netflix.com","Medium","Permitted","1","1E+1","New",
"1284823","22 Aug. 2020, 12:14:22 PM GMT+0530","himanshpahwa","Croatia PII","Endpoint HTTPS","gj.mmstat.com","Medium","Permitted","1","1.1","New",
"1284820","22 Aug. 2020, 12:14:22 PM GMT+0530","himanshpahwa","Croatia PII","Endpoint HTTPS","gj.mmstat.com","Medium","Permitted","1","1.5","New",
"1284817","22 Aug. 2020, 12:14:22 PM GMT+0530","himanshpahwa","Croatia PII","Endpoint HTTPS","gj.mmstat.com","Medium","Permitted","1","1.3","New",
"1284696","22 Aug. 2020, 12:11:38 PM GMT+0530","nishantbaranwal","Poland PII","Endpoint HTTPS","onetag-sys.com","Medium","Permitted","1","0.9","New",
"1284749","22 Aug. 2020, 12:11:21 PM GMT+0530","nishantbaranwal","Poland PII","Endpoint HTTPS","kissanime.nz","Medium","Permitted","1","0.1","New",
"1284943","22 Aug. 2020, 12:10:58 PM GMT+0530","kavitaverma","Poland PII","Endpoint HTTPS","firestore.googleapis.com","Medium","Permitted","1","0.6","New",
"1284940","22 Aug. 2020, 12:10:57 PM GMT+0530","kavitaverma","Poland PII","Endpoint HTTPS","firestore.googleapis.com","Medium","Permitted","1","0.5","New",
"1284892","22 Aug. 2020, 12:08:36 PM GMT+0530","kavitaverma","Poland PII","Endpoint HTTPS","m.stripe.com","Medium","Permitted","1","0.9","New",
"1284811","22 Aug. 2020, 12:07:33 PM GMT+0530","himanshpahwa","Poland PII","Endpoint HTTPS","www.facebook.com","Medium","Permitted","1","65.3","New",
"1284686","22 Aug. 2020, 12:06:58 PM GMT+0530","jiteshgupta","Slovakia PII; Poland PII","Endpoint HTTPS","pla-tk.flipkart.net","Medium","Permitted","1","1.4","New",
"1284739","22 Aug. 2020, 12:06:51 PM GMT+0530","jiteshgupta","Slovakia PII; Poland PII","Endpoint HTTPS","pla-tk.flipkart.net","Medium","Permitted","1","1.1","New",
"1284468","22 Aug. 2020, 12:05:56 PM GMT+0530","niharmathur","Source code","Endpoint application (File Access)","Microsoft Office Excel","Medium","Permitted","6","662.1","New",
"1284465","22 Aug. 2020, 12:05:52 PM GMT+0530","nishantbaranwal","Slovakia PII","Endpoint HTTPS","www.facebook.com","Medium","Permitted","1","1","New",
"1284882","22 Aug. 2020, 12:05:43 PM GMT+0530","jiteshgupta","Slovakia PII; Poland PII","Endpoint HTTPS","pla-tk.flipkart.net","Medium","Permitted","1","1","New",
"1284801","22 Aug. 2020, 12:05:38 PM GMT+0530","jiteshgupta","Slovakia PII; Poland PII","Endpoint HTTPS","pla-tk.flipkart.net","Medium","Permitted","1","1","New",
"1284670","22 Aug. 2020, 12:05:31 PM GMT+0530","jiteshgupta","Slovakia PII; Poland PII","Endpoint HTTPS","pla-tk.flipkart.net","Medium","Permitted","1","0.9","New",
"1284666","22 Aug. 2020, 12:05:27 PM GMT+0530","vijaykumar","Source code","Endpoint HTTPS","rs.livesession.io","Medium","Permitted","3","207.2","New",
"1284730","22 Aug. 2020, 12:05:01 PM GMT+0530","kavitaverma","Poland PII","Endpoint HTTPS","m.stripe.com","Medium","Permitted","1","0.9","New",
"1284727","22 Aug. 2020, 12:04:58 PM GMT+0530","jiteshgupta","Croatia PII","Endpoint HTTPS","fls-eu.amazon.in","Medium","Permitted","1","7.2","New",
"1284447","22 Aug. 2020, 12:03:40 PM GMT+0530","himanshpahwa","Source code","Endpoint application (File Access)","Microsoft Office Outlook","Medium","Permitted","6","662.1","New",
"1284633","22 Aug. 2020, 12:02:57 PM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","0.2","New",
"1284630","22 Aug. 2020, 12:02:56 PM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","0.2","New",
"1284625","22 Aug. 2020, 12:02:53 PM GMT+0530","himanshpahwa","Source code","Endpoint application (File Access)","Microsoft Office Excel","Medium","Permitted","6","662.1","New",
"1284789","22 Aug. 2020, 12:00:51 PM GMT+0530","ankitkumar","Source code","Endpoint HTTPS","logs.naukri.com","Medium","Permitted","1","5.5","New",
"1283960","22 Aug. 2020, 12:00:49 PM GMT+0530","ankitkumar","Source code","Endpoint HTTPS","logs.naukri.com","Medium","Permitted","1","5.5","New",
"1284656","22 Aug. 2020, 12:00:25 PM GMT+0530","ankitkumar","Source code","Endpoint application (File Access)","OneDrive","Medium","Permitted","2","329.8","New",
"1284711","22 Aug. 2020, 12:00:17 PM GMT+0530","ankitkumar","Source code","Endpoint application (File Access)","Microsoft Office Excel","Medium","Permitted","2","329.8","New",
"1284557","22 Aug. 2020, 12:00:17 PM GMT+0530","ankitkumar","Source code","Endpoint application (File Access)","Microsoft Office Excel","Medium","Permitted","2","328.1","New",
"1284441","22 Aug. 2020, 12:00:04 PM GMT+0530","jiteshgupta","Poland PII","Endpoint HTTPS","fls-eu.amazon.in","Medium","Permitted","1","15.4","New",
"1284590","22 Aug. 2020, 12:00:01 PM GMT+0530","jiteshgupta","Slovakia PII; Poland PII","Endpoint HTTPS","fls-eu.amazon.in","Medium","Permitted","1","15","New",
"1284585","22 Aug. 2020, 11:59:59 AM GMT+0530","rajansingh","Source code","Endpoint application (File Access)","Microsoft Office Outlook","Medium","Permitted","6","662.1","New",
"1284580","22 Aug. 2020, 11:59:51 AM GMT+0530","rajansingh","Source code","Endpoint application (File Access)","Safari","Medium","Permitted","6","662.1","New",
"1283954","22 Aug. 2020, 11:59:19 AM GMT+0530","ankitkumar","Poland PII","Endpoint HTTPS","www.linkedin.com","Medium","Permitted","1","11.8","New",
"1284643","22 Aug. 2020, 11:59:08 AM GMT+0530","ankitkumar","Poland PII","Endpoint HTTPS","www.linkedin.com","High","Permitted","8","12.5","New",
"1284539","22 Aug. 2020, 11:58:54 AM GMT+0530","rajansingh","Source code","Endpoint application (File Access)","Safari","Medium","Permitted","6","662.1","New",
"1284430","22 Aug. 2020, 11:58:45 AM GMT+0530","ankitkumar","Source code","Endpoint application (File Access)","OneDrive","Medium","Permitted","2","328.1","New",
"1284570","22 Aug. 2020, 11:58:33 AM GMT+0530","ankitkumar","Poland PII","Endpoint HTTPS","www.linkedin.com","High","Permitted","5","9.4","New",
"1283947","22 Aug. 2020, 11:58:24 AM GMT+0530","ankitkumar","Poland PII","Endpoint HTTPS","www.linkedin.com","Medium","Permitted","1","10.2","New",
"1284406","22 Aug. 2020, 11:58:02 AM GMT+0530","himanshpahwa","Poland PII","Endpoint HTTPS","acs.aliexpress.com","Medium","Permitted","1","1","New",
"1284403","22 Aug. 2020, 11:58:02 AM GMT+0530","himanshpahwa","Poland PII","Endpoint HTTPS","acs.aliexpress.com","Medium","Permitted","1","0.9","New",
"1284400","22 Aug. 2020, 11:58:02 AM GMT+0530","himanshpahwa","Poland PII","Endpoint HTTPS","acs.aliexpress.com","Medium","Permitted","1","0.9","New",
"1284518","22 Aug. 2020, 11:56:35 AM GMT+0530","himanshpahwa","Poland PII","Endpoint HTTPS","acs.aliexpress.com","Medium","Permitted","1","0.6","New",
"1284513","22 Aug. 2020, 11:56:34 AM GMT+0530","niharmathur","Source code","Endpoint application (File Access)","Microsoft Office Outlook","Medium","Permitted","6","662.1","New",
"1284424","22 Aug. 2020, 11:56:16 AM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","2","New",
"1284251","22 Aug. 2020, 11:56:10 AM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","6.9","New",
"1284246","22 Aug. 2020, 11:56:09 AM GMT+0530","niharmathur","Source code","Endpoint application (File Access)","OneDrive","Medium","Permitted","6","662.1","New",
"1283941","22 Aug. 2020, 11:55:33 AM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","0.6","New",
"1284394","22 Aug. 2020, 11:55:18 AM GMT+0530","prateekvarshney","Croatia PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","36.4","New",
"1284331","22 Aug. 2020, 11:54:41 AM GMT+0530","gauravtejwani","Source code","Endpoint application (File Access)","Microsoft Office Word","Medium","Permitted","6","662.1","New",
"1284328","22 Aug. 2020, 11:54:36 AM GMT+0530","prateekvarshney","Poland PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","30.1","New",
"1284321","22 Aug. 2020, 11:54:32 AM GMT+0530","prateekvarshney","Croatia PII; Poland PII","Endpoint HTTPS","www.quora.com","High","Permitted","5","35.4","New",
"1284415","22 Aug. 2020, 11:53:49 AM GMT+0530","nishantbaranwal","Croatia PII","Endpoint HTTPS","www.facebook.com","Medium","Permitted","1","1.5","New",
"1284412","22 Aug. 2020, 11:53:47 AM GMT+0530","nishantbaranwal","Croatia PII","Endpoint HTTPS","www.facebook.com","Medium","Permitted","1","1.4","New",
"1284226","22 Aug. 2020, 11:53:07 AM GMT+0530","Shivam","Source code","Endpoint application (File Access)","OneDrive","Medium","Permitted","6","662.1","New",
"1283935","22 Aug. 2020, 11:52:12 AM GMT+0530","nishantbaranwal","Poland PII","Endpoint HTTPS","hn.inspectlet.com","Medium","Permitted","1","0.6","New",
